Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
lightning_1.0.0,tests/loggers/test_base.py,214,140,146,7,46,28,56,53,84,273.7353344330258,4.260869565217392,2050.0974426940984,113.89430237189436,481.14531818330875,30,49.362138677873695
lightning_1.0.0,tests/loggers/test_mlflow.py,156,101,103,6,58,41,79,64,120,355.27267272172605,4.086206896551724,2942.0689655172414,163.44827586206895,720.0,30,56.14884223044206
lightning_1.0.0,tests/loggers/test_all.py,319,172,228,5,37,35,69,42,104,204.35941500270798,4.662162162162162,2614.5452585040803,145.2525143613378,560.8010119689911,34,46.24452329372319
lightning_1.0.0,tests/loggers/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.0.0,tests/loggers/test_csv.py,110,62,69,3,20,12,24,23,36,91.19344939991072,1.8,293.12681475249445,16.284823041805247,162.84823041805248,11,66.82777033374693
lightning_1.0.0,tests/loggers/test_neptune.py,109,61,65,1,10,6,12,11,18,33.219280948873624,0.6,37.361861481282816,2.0756589711823787,62.26976913547136,7,72.58745877893107
lightning_1.0.0,tests/loggers/test_wandb.py,111,68,65,5,27,17,33,32,50,139.9916030328505,3.0555555555555554,763.8888888888888,42.438271604938265,250.0,18,67.82457569862864
lightning_1.0.0,tests/loggers/test_comet.py,203,117,113,6,33,24,47,39,71,181.9747809431559,4.2727272727272725,1603.3988367584839,89.0777131532491,375.2635575392197,21,55.55212886196611
lightning_1.0.0,tests/loggers/test_tensorboard.py,203,106,136,4,39,24,48,43,72,214.1306865356277,2.4615384615384617,961.7010765256641,53.42783758475912,390.69106233855103,15,58.34630914865897
lightning_1.0.0,tests/utilities/test_xla_device_utils.py,44,23,20,2,6,3,6,8,9,17.509775004326936,1.0,27.0,1.5,27.0,4,88.82924707629073
lightning_1.0.0,tests/utilities/dist.py,46,24,24,2,8,5,10,10,15,26.0,1.25,62.28615177913805,3.4603417655076694,49.82892142331044,4,86.64184508870815
lightning_1.0.0,tests/utilities/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.0.0,tests/utilities/test_dtype_device_mixin.py,102,44,63,5,16,13,22,21,35,75.60964047443682,3.4375,528.4506899280697,29.358371662670535,153.73110979725664,12,74.11775795368206
lightning_1.0.0,tests/utilities/test_upgrade_checkpoint.py,49,13,32,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,2,99.02017703177616
lightning_1.0.0,tests/utilities/parsing.py,74,39,40,2,5,3,5,7,8,13.60964047443681,1.0,22.458839376460833,1.2477132986922685,22.458839376460833,9,83.15484395044759
lightning_1.0.0,tests/utilities/test_apply_func.py,79,31,51,3,10,6,12,13,18,37.974168451037094,1.8,119.8942468677714,6.660791492653967,66.60791492653966,19,80.29883461600035
