Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
lightning_1.8.0,./setup.py,105,38,36,3,5,3,5,8,8,16.36452797660028,1.5,36.0,2.0,24.0,8,73.62675317360309
lightning_1.8.0,src/lightning/__init__.py,59,33,44,0,0,0,0,0,0,0,0,0,0.0,0,2,100.0
lightning_1.8.0,src/lightning/__main__.py,4,3,3,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,2,84.58174335197131
lightning_1.8.0,src/lightning/__setup__.py,109,34,93,1,4,2,4,5,6,8.0,0.5,6.965784284662087,0.3869880158145604,13.931568569324174,6,79.39470145915536
lightning_1.8.0,src/lightning/__about__.py,42,10,24,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning/__version__.py,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/__init__.py,43,29,28,1,2,2,2,3,4,2.0,0.5,3.1699250014423126,0.17610694452457293,6.339850002884625,4,90.51602927988559
lightning_1.8.0,src/lightning_app/__main__.py,4,3,3,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,2,84.58174335197131
lightning_1.8.0,src/lightning_app/__setup__.py,129,45,109,1,14,10,20,15,30,53.30296890880645,0.7142857142857143,83.71908419161112,4.651060232867284,117.20671786825557,6,69.9878064963515
lightning_1.8.0,src/lightning_app/__about__.py,39,8,21,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/__version__.py,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/components/__init__.py,21,9,20,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/components/training.py,193,99,142,4,8,5,8,12,13,32.0,2.0,93.20902501875007,5.178279167708337,46.604512509375034,30,62.040255094008174
lightning_1.8.0,src/lightning_app/components/python/tracer.py,174,84,84,4,7,4,7,11,11,27.651484454403228,2.0,76.10749561002055,4.228194200556697,38.053747805010275,29,72.29676873378013
lightning_1.8.0,src/lightning_app/components/python/__init__.py,4,3,3,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/components/python/popen.py,99,50,54,3,7,4,7,10,11,24.406371956566698,1.5,54.81181356564148,3.0451007536467487,36.541209043760986,15,78.09065328770764
lightning_1.8.0,src/lightning_app/components/serve/streamlit.py,150,85,93,4,8,4,8,12,12,32.0,2.0,86.03910001730776,4.779950000961542,43.01955000865388,19,68.2759669802282
lightning_1.8.0,src/lightning_app/components/serve/serve.py,154,89,114,5,13,8,16,18,24,59.715356810271004,3.076923076923077,307.9329231834323,17.107384621301794,100.07820003461549,24,59.07215807974779
lightning_1.8.0,src/lightning_app/components/serve/gradio.py,65,40,37,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,10,85.40865684618221
lightning_1.8.0,src/lightning_app/components/serve/__init__.py,4,3,3,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/components/serve/types/image.py,31,25,25,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,5,64.09152739498799
lightning_1.8.0,src/lightning_app/components/serve/types/__init__.py,4,5,3,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/components/serve/types/type.py,16,9,6,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0
lightning_1.8.0,src/lightning_app/components/database/server.py,177,61,61,2,6,3,6,8,9,17.509775004326936,1.0,27.0,1.5,27.0,14,72.72465068533712
lightning_1.8.0,src/lightning_app/components/database/__init__.py,4,3,3,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/components/database/client.py,78,45,59,4,20,10,20,24,30,94.43856189774725,2.0,275.0977500432694,15.28320833573719,137.5488750216347,17,61.69808749726578
lightning_1.8.0,src/lightning_app/components/database/utilities.py,248,169,173,6,22,17,34,28,51,113.61727061434748,4.636363636363637,1136.7209229338025,63.15116238521125,245.1751010249378,26,50.110580271583025
lightning_1.8.0,src/lightning_app/api/__init__.py,8,2,7,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/api/http_methods.py,134,80,86,6,14,9,14,20,23,68.81274391313339,3.0,298.21303854722805,16.56739103040156,99.40434618240934,12,63.97559190953119
lightning_1.8.0,src/lightning_app/api/request_types.py,42,43,30,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0
lightning_1.8.0,src/lightning_app/source_code/uploader.py,90,48,46,3,5,3,6,8,9,16.36452797660028,1.8,48.6,2.7,27.0,8,81.31313917564513
lightning_1.8.0,src/lightning_app/source_code/local.py,104,69,65,5,19,10,19,24,29,92.32026322986493,2.5,332.4097813022838,18.4672100723491,132.96391252091354,16,66.2456480190311
lightning_1.8.0,src/lightning_app/source_code/__init__.py,7,3,6,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/source_code/tar.py,181,72,73,7,17,12,23,24,35,89.13835275565901,4.735294117647059,759.8901085754036,42.21611714307798,160.4736875252405,14,66.97437909085646
lightning_1.8.0,src/lightning_app/source_code/copytree.py,165,70,90,8,23,16,29,31,45,128.0419249893113,5.043478260869565,1124.3871626182388,62.46595347879104,222.9388339674094,25,69.13783203781597
lightning_1.8.0,src/lightning_app/source_code/hashing.py,36,15,14,2,5,3,6,7,9,13.60964047443681,1.2,30.319433158222125,1.6844129532345624,25.26619429851844,5,85.97783414245187
lightning_1.8.0,src/lightning_app/storage/drive.py,324,189,240,11,46,31,52,57,83,292.1375977836329,6.217391304347826,3010.0248512226663,167.22360284570368,484.1298711756736,72,42.88343898610877
lightning_1.8.0,src/lightning_app/storage/__init__.py,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/storage/path.py,434,267,272,10,79,49,94,89,143,531.2179600548648,5.949367088607595,5509.291694876602,306.0717608264779,926.0298806281949,79,41.263940025032355
lightning_1.8.0,src/lightning_app/storage/orchestrator.py,177,88,134,4,11,8,13,15,21,46.053747805010275,2.3636363636363638,193.92384229111377,10.773546793950764,82.0447025077789,24,65.24331963349572
lightning_1.8.0,src/lightning_app/storage/copier.py,132,78,77,5,8,5,9,13,14,35.60964047443681,2.8125,145.70481390180552,8.09471188343364,51.80615605397529,20,71.3271170073241
lightning_1.8.0,src/lightning_app/storage/mount.py,61,35,38,3,8,5,8,11,13,28.75488750216347,1.5,67.4589165634273,3.747717586857072,44.97261104228487,12,79.382339319966
lightning_1.8.0,src/lightning_app/storage/payload.py,256,152,164,6,30,18,34,36,52,162.7164928725825,3.4,914.0427402550007,50.78015223638893,268.8361000750002,40,54.577423293959846
lightning_1.8.0,src/lightning_app/storage/requests.py,42,58,34,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/runners/multiprocess.py,109,64,77,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,8,75.41224747284903
lightning_1.8.0,src/lightning_app/runners/runtime.py,158,101,107,6,16,10,18,22,28,79.50977500432694,3.375,421.4162879612246,23.412015997845813,124.86408532184433,25,60.644116087880235
lightning_1.8.0,src/lightning_app/runners/cloud.py,516,228,418,13,58,44,78,71,122,387.86861405323333,8.741379310344827,6558.387212583493,364.3548451435274,750.2691485795713,75,34.844109566885066
lightning_1.8.0,src/lightning_app/runners/__init__.py,7,6,6,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/runners/runtime_type.py,23,18,18,1,4,3,6,5,9,8.0,0.75,15.673014640489694,0.8707230355827608,20.89735285398626,6,62.567216700121726
lightning_1.8.0,src/lightning_app/runners/singleprocess.py,55,35,41,0,0,0,0,0,0,0,0,0,0.0,0,6,100.0
lightning_1.8.0,src/lightning_app/runners/backends/cloud.py,29,20,20,0,0,0,0,0,0,0,0,0,0.0,0,8,100.0
lightning_1.8.0,src/lightning_app/runners/backends/mp_process.py,83,54,68,4,8,4,8,12,12,32.0,2.0,86.03910001730776,4.779950000961542,43.01955000865388,21,55.2163042605469
lightning_1.8.0,src/lightning_app/runners/backends/__init__.py,22,18,18,1,4,3,6,5,9,8.0,0.75,15.673014640489694,0.8707230355827608,20.89735285398626,5,62.70171962409834
lightning_1.8.0,src/lightning_app/runners/backends/backend.py,127,84,91,2,3,2,3,5,5,6.754887502163469,1.0,11.60964047443681,0.6449800263576005,11.60964047443681,19,62.846042929271746
lightning_1.8.0,src/lightning_app/runners/backends/docker.py,26,18,18,0,0,0,0,0,0,0,0,0,0.0,0,7,100.0
lightning_1.8.0,src/lightning_app/core/queues.py,395,231,278,11,34,30,57,45,87,211.02748440752185,9.220588235294118,4405.516096348345,244.7508942415747,477.7912193806817,84,41.37206180985424
lightning_1.8.0,src/lightning_app/core/flow.py,781,316,353,9,74,50,89,83,139,488.02887406952317,5.412162162162162,4795.881859775239,266.43788109862436,886.1304809572226,140,34.806525676922845
lightning_1.8.0,src/lightning_app/core/constants.py,70,44,49,3,9,5,10,12,15,33.28421251514428,1.6666666666666667,89.62406251802892,4.9791145843349405,53.77443751081735,2,76.07540908939383
lightning_1.8.0,src/lightning_app/core/__init__.py,5,4,4,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/core/work.py,597,369,391,12,123,71,133,135,204,896.9488341653803,6.487804878048781,9366.251745326008,520.3473191847783,1443.6703817983696,130,29.248560315849897
lightning_1.8.0,src/lightning_app/core/app.py,598,412,396,15,73,50,83,88,133,510.460551732369,8.527397260273972,7325.924551863403,406.9958084368557,859.1044052787606,124,29.29940320960788
lightning_1.8.0,src/lightning_app/core/api.py,457,284,330,8,40,29,46,48,75,236.8771237954945,4.6,1926.812062748799,107.0451145971555,418.8721875540868,53,40.502006910955046
lightning_1.8.0,src/lightning_app/cli/lightning_cli_create.py,79,23,71,2,3,2,3,5,5,6.754887502163469,1.0,11.60964047443681,0.6449800263576005,11.60964047443681,2,62.570437072844925
lightning_1.8.0,src/lightning_app/cli/cmd_clusters.py,221,98,167,7,21,12,23,28,35,111.8901503327572,3.8333333333333335,644.9867853760619,35.832599187559,168.25742227201613,29,57.754600611310906
lightning_1.8.0,src/lightning_app/cli/lightning_cli_list.py,42,25,28,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
lightning_1.8.0,src/lightning_app/cli/cmd_init.py,152,60,103,5,13,7,13,18,20,59.715356810271004,2.5,208.4962500721156,11.583125004006423,83.39850002884624,12,61.18313449494702
lightning_1.8.0,src/lightning_app/cli/cmd_install.py,492,221,326,8,58,36,61,66,97,363.76289771739914,4.206896551724138,2466.5296554651013,137.02942530361673,586.30622957777,46,45.854119451603424
lightning_1.8.0,src/lightning_app/cli/lightning_cli_add.py,40,25,30,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,5,74.89119719575169
lightning_1.8.0,src/lightning_app/cli/core.py,13,9,9,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0
lightning_1.8.0,src/lightning_app/cli/lightning_cli.py,483,237,368,10,56,34,62,66,96,358.4311565840995,5.535714285714286,3212.163732001921,178.4535406667734,580.2618354584115,36,37.26806882447463
lightning_1.8.0,src/lightning_app/cli/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
