Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
ray_2.0.0,python/ray/util/collective/const.py,34,19,14,3,4,3,5,7,8,12.75488750216347,1.875,42.11032383086406,2.3394624350480036,22.458839376460833,4,90.86997858078198
ray_2.0.0,python/ray/util/collective/types.py,115,75,75,2,4,3,5,6,8,10.0,1.25,25.84962500721156,1.43609027817842,20.67970000576925,6,67.39050499748636
ray_2.0.0,python/ray/util/collective/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/tests/util.py,373,243,317,3,42,32,64,45,96,231.2322192588714,2.2857142857142856,1205.0694794231972,66.94830441239985,527.2178972476488,75,22.208574333841405
ray_2.0.0,python/ray/util/collective/tests/conftest.py,91,59,65,2,8,5,10,10,15,26.0,1.25,62.28615177913805,3.4603417655076694,49.82892142331044,10,70.15348851770655
ray_2.0.0,python/ray/util/collective/tests/cpu_util.py,137,101,110,3,11,9,18,14,27,42.808635307173745,2.4545454545454546,252.32379437999938,14.017988576666632,102.7985828955553,35,37.482242967416454
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_sendrecv.py,40,24,36,3,14,9,18,17,27,58.05785641096992,1.9285714285714286,212.84002937653557,11.824446076474198,110.36149671375918,7,54.6467655726826
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_allgather.py,138,94,116,5,53,35,70,58,105,315.1894245662864,3.30188679245283,2030.950958216399,112.83060878979994,615.0880044883951,43,41.21056815843771
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_broadcast.py,81,41,70,3,32,18,36,35,54,164.75488750216346,1.6875,467.4059149191101,25.966995273283896,276.9812829150282,16,45.56467419108057
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_reduce.py,127,72,108,3,61,39,78,64,117,366.52986509349955,1.9180327868852458,1346.4590163934427,74.80327868852459,702.0,37,44.475841788839155
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_reducescatter.py,130,89,110,4,57,44,88,61,132,340.4747308073903,3.087719298245614,2417.243681162473,134.2913156201374,782.857328558301,39,43.224065698042175
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_allreduce.py,171,77,141,4,77,47,94,81,141,490.5425636335074,2.4415584415584415,2182.555115278775,121.25306195993193,893.9188504067322,42,44.65505885705975
ray_2.0.0,python/ray/util/collective/tests/distributed_gpu_tests/test_distributed_basic_apis.py,120,82,93,2,15,12,18,17,30,60.60335893412778,1.2,147.14866228501222,8.174925682500678,122.6238852375102,30,54.281261694767096
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_reducescatter.py,90,45,75,2,22,12,24,24,36,100.10749561002054,1.0909090909090908,180.0639818465036,10.003554547027978,165.05865002596164,18,55.69400894355953
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_sendrecv.py,54,29,47,3,19,12,24,22,36,85.46551025759159,1.894736842105263,304.180177776523,16.89889876536239,160.5395382709427,6,60.55236689848757
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_broadcast.py,112,57,100,3,35,18,36,38,54,184.27979309523727,1.542857142857143,437.22733226289984,24.29040734793888,283.3880857259536,16,42.37375413711953
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_reduce.py,194,104,172,4,92,60,120,96,180,608.1676999572452,2.608695652173913,3092.0693481647168,171.78163045359537,1185.293250129808,48,35.92349691843425
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_allgather.py,87,48,73,2,16,8,16,18,24,66.0,1.0,100.07820003461549,5.559900001923083,100.07820003461549,21,56.32749140790532
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_basic_apis.py,101,70,76,2,14,11,17,16,28,55.30296890880645,1.2142857142857142,136.0,7.555555555555555,112.0,25,58.117827315741415
ray_2.0.0,python/ray/util/collective/tests/distributed_multigpu_tests/test_distributed_multigpu_allreduce.py,166,94,136,4,83,48,96,87,144,537.1282728017948,2.3132530120481927,2146.1988165448874,119.23326758582708,927.783863402217,40,43.12791100436834
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_reducescatter.py,130,89,110,4,57,44,88,61,132,340.4747308073903,3.087719298245614,2417.243681162473,134.2913156201374,782.857328558301,39,43.224065698042175
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_allreduce.py,168,81,137,4,80,48,96,84,144,513.7542475909889,2.4,2209.184901312339,122.73249451735218,920.4937088801414,43,44.11629991786659
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_basic_apis.py,117,77,90,3,16,14,22,19,36,68.75488750216347,2.0625,315.4086178731862,17.52270099295479,152.92539048396907,29,54.55966374088767
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_sendrecv.py,78,49,68,5,26,17,34,31,51,133.82107314610522,3.269230769230769,826.0169617510426,45.88983120839126,252.66401182973067,14,44.42444216633554
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_reduce.py,151,86,130,3,72,45,90,75,135,448.9894876060099,1.875,1576.6697310317697,87.59276283509831,840.8905232169438,46,40.18732574124256
