,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,ray_0.3.0,src/plasma/setup.py,35,16,26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,100.0,1,1
1,ray_0.3.0,python/setup.py,120,45,84,6,16,10,17,22,27,79.50977500432694,3.1875,383.7898336789724,21.321657426609576,120.40465370320705,14,72.99862173029096,3,1
2,ray_0.3.0,python/ray/log_monitor.py,113,67,76,7,16,9,17,23,26,83.65148445440323,3.71875,437.37189662626247,24.298438701459027,117.61261085748234,17,68.93175861067874,1,1
3,ray_0.3.0,python/ray/signature.py,213,93,105,9,29,17,31,38,48,169.41077387168042,4.810344827586207,1211.7283665523537,67.31824258624187,251.9005206452921,28,65.46124906849681,0,0
4,ray_0.3.0,python/ray/services.py,1348,431,703,15,152,104,199,167,303,1160.288340977553,9.81907894736842,21967.85613766322,1220.4364520924012,2237.262400619638,92,35.4689899703276,8,1
5,ray_0.3.0,python/ray/utils.py,305,123,135,13,52,30,60,65,90,344.528581679171,7.5,4065.098273794207,225.83879298856704,542.0131031725609,27,59.78532459333195,3,1
6,ray_0.3.0,python/ray/monitor.py,620,298,339,16,95,60,115,111,175,688.1362827914401,9.68421052631579,11514.746889288075,639.7081605160042,1189.022776611269,93,41.22361972580327,6,1
7,ray_0.3.0,python/ray/__init__.py,73,35,49,11,45,25,52,56,77,285.1871371398456,6.355555555555555,2841.9904465233903,157.88835814018836,447.1663289984356,20,73.97535239162491,4,1
8,ray_0.3.0,python/ray/actor.py,895,363,464,12,86,51,100,98,151,595.6783189130342,6.976744186046512,6968.519905544627,387.1399947524793,998.8211864613966,26,48.74988595044301,9,1
9,ray_0.3.0,python/ray/serialization.py,66,31,45,4,11,7,11,15,18,46.05374780501028,2.0,140.64806144190666,7.8137811912170365,70.32403072095333,10,77.4201124416487,2,1
10,ray_0.3.0,python/ray/worker.py,2538,1039,1371,17,311,216,421,328,637,2644.806577811873,11.506430868167202,61257.48361257537,3403.193534031965,5323.760626941719,263,1.9361410265956065,18,1
11,ray_0.3.0,python/ray/local_scheduler/local_scheduler_services.py,124,44,82,6,21,20,40,27,60,107.74844088268092,5.714285714285714,1630.2471435989037,90.56928575549463,285.29325012980814,16,73.23131513370443,1,1
12,ray_0.3.0,python/ray/local_scheduler/__init__.py,12,6,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,2,1
13,ray_0.3.0,python/ray/local_scheduler/test/test.py,223,119,156,7,31,22,42,38,64,173.2315700763964,4.741935483870968,1592.6613563379758,88.48118646322088,335.86736086038945,21,58.95881369850816,0,0
14,ray_0.3.0,python/ray/core/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
15,ray_0.3.0,python/ray/core/src/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
16,ray_0.3.0,python/ray/core/src/numbuf/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
17,ray_0.3.0,python/ray/core/src/local_scheduler/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
18,ray_0.3.0,python/ray/core/src/plasma/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
19,ray_0.3.0,python/ray/core/generated/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
20,ray_0.3.0,python/ray/rllib/__init__.py,19,14,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
21,ray_0.3.0,python/ray/rllib/parallel.py,270,111,130,9,30,16,30,39,46,175.7360428812364,4.5,1094.0782593044855,60.78212551691586,243.12850206766345,28,63.99130360372473,1,1
22,ray_0.3.0,python/ray/rllib/train.py,82,31,65,3,7,5,7,10,12,24.406371956566694,1.5,59.79470570797253,3.321928094887363,39.86313713864836,7,69.69539137863875,6,1
23,ray_0.3.0,python/ray/rllib/agent.py,348,208,218,11,39,26,49,50,75,244.18443434063795,6.910256410256411,2925.037006046708,162.5020558914838,423.2892142331043,48,47.26277154231615,3,1
24,ray_0.3.0,python/ray/rllib/models/preprocessors.py,92,65,60,7,16,12,21,23,33,83.65148445440323,4.59375,685.7437202760178,38.09687334866766,149.27754454988144,19,65.34526057704642,3,1
25,ray_0.3.0,python/ray/rllib/models/visionnet.py,30,17,24,1,1,2,2,2,4,0.0,1.0,4.0,0.2222222222222222,4.0,3,68.53989073009699,0,0
26,ray_0.3.0,python/ray/rllib/models/misc.py,51,30,35,4,19,11,20,23,31,88.71062275542812,2.1052631578947367,295.2219381847734,16.401218788042968,140.2304206377674,1,73.24097034777606,1,1
27,ray_0.3.0,python/ray/rllib/models/fcnet.py,38,25,31,2,5,3,6,7,9,13.60964047443681,1.2,30.319433158222125,1.6844129532345624,25.26619429851844,5,59.01226996079247,0,0
28,ray_0.3.0,python/ray/rllib/models/__init__.py,12,7,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
29,ray_0.3.0,python/ray/rllib/models/catalog.py,191,85,96,10,23,15,28,33,43,137.26120593818493,6.086956521739131,1320.315330371213,73.35085168728959,216.9089471324135,23,67.69724951595003,4,1
30,ray_0.3.0,python/ray/rllib/models/convnet.py,23,18,17,3,6,4,7,9,11,20.264662506490406,1.75,61.02105627776452,3.3900586820980285,34.86917501586544,3,75.49757792434636,1,1
31,ray_0.3.0,python/ray/rllib/models/model.py,47,18,19,5,7,5,10,12,15,31.26112492884004,3.571428571428572,192.0515625386334,10.6695312521463,53.77443751081735,6,86.07230950762008,0,0
32,ray_0.3.0,python/ray/rllib/models/action_dist.py,111,63,68,5,62,34,66,67,100,380.7698117184231,2.661290322580645,1614.362445847633,89.6868025470907,606.6089190457772,17,60.620442360498,0,0
