,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,lightning_1.0.0,./setup.py,129,35,83,2,8,4,8,10,12,26.0,1.0,39.86313713864836,2.2146187299249087,39.86313713864836,7,83.2174222062805,10,1
1,lightning_1.0.0,docs/source/conf.py,364,91,159,2,11,10,20,13,30,40.05374780501028,1.818181818181818,201.8421664440596,11.213453691336642,111.01319154423275,11,68.61307260945297,19,1
2,lightning_1.0.0,tests/__init__.py,13,8,8,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,2,97.47869458230907,0,0
3,lightning_1.0.0,tests/conftest.py,57,38,38,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,4,82.96838074622241,0,0
4,lightning_1.0.0,tests/collect_env_details.py,96,55,70,6,30,22,44,36,66,162.7164928725825,4.4,1501.3462204188477,83.40812335660264,341.2150500951926,10,58.33199137317148,0,0
5,lightning_1.0.0,tests/test_deprecated.py,50,35,28,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,12,78.30825047911084,0,0
6,lightning_1.0.0,tests/test_profiler.py,186,97,114,5,11,6,11,16,17,49.66338827944709,2.5,170.0,9.444444444444445,68.0,13,63.05948065337338,0,0
7,lightning_1.0.0,tests/base/deterministic_model.py,504,341,334,13,135,85,169,148,254,1003.4758219376964,8.137037037037038,14900.551619440175,827.8084233022321,1831.201154869753,104,31.074699065894254,0,0
8,lightning_1.0.0,tests/base/mixins.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
9,lightning_1.0.0,tests/base/simple_model.py,98,59,59,2,4,2,4,6,6,10.0,1.0,15.509775004326936,0.861654166907052,15.509775004326936,21,77.52946995947276,0,0
10,lightning_1.0.0,tests/base/model_optimizers.py,101,56,57,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,13,84.1867575964307,0,0
