,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,lightning_1.5.0,./setup.py,114,23,75,3,11,6,11,14,17,42.80863530717375,1.5,97.08755051246888,5.393752806248271,64.72503367497926,6,85.78001250661575,7,1
1,lightning_1.5.0,docs/source/conf.py,385,114,194,2,11,10,20,13,30,40.05374780501028,1.818181818181818,201.8421664440596,11.213453691336642,111.01319154423275,14,68.02226266797993,21,1
2,lightning_1.5.0,tests/__init__.py,36,15,15,2,3,2,3,5,5,6.754887502163469,1.0,11.60964047443681,0.6449800263576005,11.60964047443681,4,91.99321249919466,0,0
3,lightning_1.5.0,tests/conftest.py,158,87,106,5,9,5,9,14,14,40.13896548741762,2.5,133.25742227201613,7.403190126223119,53.30296890880645,9,70.47973856746155,0,0
4,lightning_1.5.0,tests/accelerators/test_dp.py,198,112,135,2,10,5,10,12,15,35.219280948873624,1.0,53.77443751081735,2.987468750600964,53.77443751081735,18,61.26841547450314,0,0
5,lightning_1.5.0,tests/accelerators/test_common.py,82,44,53,2,10,5,10,12,15,35.219280948873624,1.0,53.77443751081735,2.987468750600964,53.77443751081735,7,76.66876995332764,0,0
6,lightning_1.5.0,tests/accelerators/test_accelerator_connector.py,1046,623,821,5,63,59,118,68,177,388.1782756549316,4.682539682539683,5045.347178664865,280.2970654813814,1077.48092290131,77,14.989302118365591,0,0
7,lightning_1.5.0,tests/accelerators/test_ipu.py,606,405,424,7,95,66,131,102,197,643.7877672458433,4.826315789473684,6344.03666106215,352.44648117011945,1314.4677923683846,78,26.55240831611668,0,0
8,lightning_1.5.0,tests/accelerators/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
9,lightning_1.5.0,tests/accelerators/ddp_model.py,58,36,34,1,6,4,8,7,12,15.509775004326936,0.6666666666666666,22.458839376460837,1.2477132986922683,33.68825906469125,5,82.70566342113483,0,0
10,lightning_1.5.0,tests/accelerators/test_tpu.py,318,207,213,4,46,27,52,50,79,262.0838499786226,2.260869565217391,1008.0417925041116,56.00232180578397,445.8646389922032,30,43.05020614610222,0,0
11,lightning_1.5.0,tests/accelerators/test_ddp.py,151,91,92,2,11,6,12,13,18,40.05374780501028,1.0909090909090908,72.66317991986145,4.036843328881192,66.60791492653966,6,68.84784739691462,0,0
12,lightning_1.5.0,tests/accelerators/test_gpu.py,36,25,27,1,4,2,4,5,6,8.0,0.5,6.965784284662087,0.3869880158145604,13.931568569324174,5,60.82256914293779,0,0
13,lightning_1.5.0,tests/accelerators/test_cpu.py,87,63,60,3,10,8,14,13,22,37.97416845103709,2.1,170.96031497811848,9.497795276562137,81.40967379910403,6,63.02917738775702,0,0
14,lightning_1.5.0,tests/accelerators/test_multi_nodes_gpu.py,116,58,74,2,11,6,12,13,18,40.05374780501028,1.0909090909090908,72.66317991986145,4.036843328881192,66.60791492653966,5,74.8424402476718,0,0
15,lightning_1.5.0,tests/accelerators/test_ddp_spawn.py,84,32,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,100.0,0,0
16,lightning_1.5.0,tests/base/model_optimizers.py,57,29,30,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,7,91.60777204163254,0,0
17,lightning_1.5.0,tests/base/model_template.py,178,74,131,1,4,3,6,5,9,8.0,0.75,15.673014640489694,0.8707230355827608,20.89735285398626,9,70.72158216690872,0,0
18,lightning_1.5.0,tests/base/model_valid_dataloaders.py,39,18,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,100.0,0,0
19,lightning_1.5.0,tests/base/model_test_steps.py,90,50,46,5,28,22,42,33,64,146.2155782920497,3.75,1210.6545886460287,67.25858825811271,322.841223638941,10,73.23816231442669,0,0
20,lightning_1.5.0,tests/base/model_valid_epoch_ends.py,73,31,31,3,6,3,6,9,9,20.264662506490406,1.5,42.793987519471216,2.377443751081734,28.529325012980813,10,83.26702994426017,0,0
21,lightning_1.5.0,tests/base/model_train_steps.py,50,25,20,4,16,10,18,20,28,72.0,2.25,272.28146997790384,15.12674833210577,121.01398665684616,8,81.41547868267773,0,0
22,lightning_1.5.0,tests/base/model_valid_steps.py,80,43,38,4,18,12,21,22,33,83.05865002596161,2.333333333333333,343.3762346350719,19.076457479726216,147.1612434150308,4,77.80617704714697,0,0
23,lightning_1.5.0,tests/base/__init__.py,3,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
24,lightning_1.5.0,tests/base/model_test_dataloaders.py,36,16,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,100.0,0,0
25,lightning_1.5.0,tests/base/model_test_epoch_ends.py,89,47,41,3,16,13,26,19,39,68.75488750216347,2.4375,403.8186092467308,22.434367180373936,165.66917302429982,10,75.1041187562859,0,0
26,lightning_1.5.0,tests/base/model_utilities.py,33,14,14,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,5,95.22685637858991,0,0
27,lightning_1.5.0,tests/base/model_train_dataloaders.py,51,26,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,100.0,0,0
28,lightning_1.5.0,tests/models/test_onnx.py,162,96,105,3,14,7,14,17,21,58.05785641096992,1.5,128.75507949938572,7.153059972188095,85.83671966625714,11,62.36923065901168,0,0
29,lightning_1.5.0,tests/models/test_torchscript.py,165,110,100,4,11,11,16,15,27,46.05374780501028,2.909090909090909,306.8684976914328,17.048249871746265,105.48604608143,20,58.481436819142765,0,0
30,lightning_1.5.0,tests/models/test_hparams.py,804,490,488,6,86,63,118,92,181,568.1685439087073,4.116279069767442,4860.357078748803,270.01983770826683,1180.764714046319,93,30.194619320131093,0,0
31,lightning_1.5.0,tests/models/test_restore.py,694,363,438,11,63,42,73,74,115,414.62238298550506,6.373015873015873,4550.888659119091,252.8271477288384,714.0871370473294,50,40.68171278130244,0,0
32,lightning_1.5.0,tests/models/test_sync_batchnorm.py,126,64,79,6,10,7,13,16,20,48.72905595320056,3.9,312.0,17.333333333333332,80.0,12,70.9151011102378,0,0
