,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,jax_0.2.28,./conftest.py,26,10,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
1,jax_0.2.28,./setup.py,81,14,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,100.0,0,0
2,jax_0.2.28,docs/autodidax.py,2986,1732,1622,20,409,261,485,429,746,3634.904988370922,11.858190709046454,77358.63889353814,4297.702160752119,6523.646042774661,350,0.0,0,0
3,jax_0.2.28,docs/conf.py,282,41,113,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
4,jax_0.2.28,docs/sphinxext/jax_extensions.py,50,22,22,3,9,6,10,12,16,33.28421251514428,1.6666666666666667,95.59900001923084,5.311055556623936,57.3594000115385,4,84.7406863074896,0,0
5,jax_0.2.28,build/build_wheel.py,293,186,229,10,26,17,30,36,47,155.43071362054204,5.769230769230769,1401.8450484680116,77.88028047044509,242.98647506778863,23,48.87133356880226,0,0
6,jax_0.2.28,build/build.py,524,249,413,18,98,62,117,116,179,723.3002147492521,10.744897959183673,13190.206773761332,732.7892652089629,1227.5785981278354,64,34.48574455849679,0,0
7,jax_0.2.28,tests/x64_context_test.py,161,114,117,6,14,10,17,20,27,68.81274391313339,3.642857142857143,425.0924990471356,23.61624994706309,116.6920585619588,16,58.781329177340425,0,0
8,jax_0.2.28,tests/lax_autodiff_test.py,1098,451,974,16,120,72,138,136,210,892.8268714730223,9.2,13692.978209295656,760.7210116275364,1488.3671966625714,81,23.375154714324346,0,0
9,jax_0.2.28,tests/qdwh_test.py,213,127,143,8,56,29,57,64,86,349.21187563522585,4.071428571428571,2100.8571428571427,116.71428571428572,516.0,9,56.81415067281778,0,0
10,jax_0.2.28,tests/lax_numpy_indexing_test.py,1303,581,1124,14,88,123,162,102,285,621.7329513488886,12.886363636363637,24505.240298542813,1361.402238807934,1901.641222461876,80,18.240807128331497,0,0
