,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
58,jax_0.1.73,benchmarks/api_benchmark.py,124,83,80,4,8,6,12,12,18,32.0,3.0,193.5879750389425,10.75488750216347,64.52932501298082,10,65.80118946413678,0,0
59,jax_0.1.73,jax/flatten_util.py,43,14,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,100.0,1,1
60,jax_0.1.73,jax/pprint_util.py,60,31,32,4,25,16,28,29,44,124.09640474436812,2.24,478.8026068797736,26.600144826654088,213.7511637856132,12,77.86945270275572,1,1
61,jax_0.1.73,jax/linear_util.py,252,128,117,5,33,18,36,38,54,178.07464641326578,2.727272727272727,772.8765974344188,42.9375887463566,283.3880857259536,29,61.85816396021419,4,1
62,jax_0.1.73,jax/random.py,1347,682,709,24,344,240,419,368,659,3008.674175634829,14.616279069767442,82100.03898378205,4561.113276876781,5617.027329041573,96,28.257190478088823,7,1
63,jax_0.1.73,jax/lax_reference.py,442,314,339,18,163,105,203,181,308,1272.9013391656274,11.208588957055214,25891.30845518965,1438.406025288314,2309.952533221627,51,34.21899059588139,5,1
64,jax_0.1.73,jax/dtypes.py,264,132,169,10,39,23,40,49,63,239.3499674845013,5.128205128205129,1813.983180406452,100.776843355914,353.7267201792581,32,59.87567000625966,3,1
65,jax_0.1.73,jax/api_util.py,164,113,112,11,39,24,47,50,71,244.18443434063795,6.628205128205129,2656.013194334113,147.5562885741174,400.7137894740054,24,59.18777055851219,1,1
66,jax_0.1.73,jax/core.py,1377,1053,1023,18,234,155,300,252,455,1916.7239944084783,11.538461538461538,41880.71959837456,2326.7066443541426,3629.662365192462,328,0.0,20,1
67,jax_0.1.73,jax/__init__.py,97,15,75,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
68,jax_0.1.73,jax/util.py,244,179,172,10,45,30,53,55,83,280.35267028370896,5.888888888888889,2825.800153310553,156.98889740614186,479.8528562225468,45,49.07249686911812,2,1
69,jax_0.1.73,jax/config.py,135,81,86,4,12,7,13,16,20,51.01955000865388,2.1666666666666665,173.33333333333331,9.629629629629628,80.0,25,67.35150217878785,0,0
70,jax_0.1.73,jax/custom_derivatives.py,594,329,354,10,61,46,83,71,129,394.9942585402097,6.80327868852459,5397.159213814478,299.8421785452488,793.317378416104,80,42.22589532787234,3,1
71,jax_0.1.73,jax/lazy.py,251,125,127,9,60,45,87,69,132,382.9427607494919,6.525,5261.272114623039,292.2928952568355,806.3252282947185,46,56.30551418836468,1,1
72,jax_0.1.73,jax/version.py,15,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
73,jax_0.1.73,jax/test_util.py,957,631,659,15,179,108,203,194,311,1398.2063830644297,8.505586592178771,20103.5739161648,1116.8652175647112,2363.5728939201967,110,19.924814951211943,0,0
74,jax_0.1.73,jax/tree_util.py,273,97,96,6,13,7,13,19,20,63.61549134016113,3.0,254.8756508066151,14.159758378145284,84.9585502688717,13,62.68841512656126,1,1
75,jax_0.1.73,jax/dlpack.py,53,20,19,2,4,3,4,6,7,10.0,1.0,18.09473750504809,1.0052631947248942,18.09473750504809,4,79.4121534246205,0,0
76,jax_0.1.73,jax/lax_linalg.py,945,669,720,19,331,297,488,350,785,2851.408154408617,14.006042296072508,92918.89592400884,5162.160884667157,6634.200722788379,96,17.418399070680348,4,1
77,jax_0.1.73,jax/abstract_arrays.py,74,36,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,100.0,3,1
78,jax_0.1.73,jax/profiler.py,162,32,26,1,3,2,4,4,6,4.754887502163469,0.6666666666666666,8.0,0.4444444444444444,12.0,4,37.2993634982613,0,0
79,jax_0.1.73,jax/source_info_util.py,59,30,30,2,5,3,5,7,8,13.60964047443681,1.0,22.458839376460837,1.2477132986922683,22.458839376460837,8,86.43100972338273,0,0
80,jax_0.1.73,jax/ad_util.py,82,53,48,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,5,85.3717589040309,3,1
81,jax_0.1.73,jax/api.py,2076,774,878,15,162,104,181,177,285,1247.659059401437,8.37962962962963,17834.094088010715,990.7830048894842,2128.2675817736545,98,25.634321285561917,29,1
82,jax_0.1.73,jax/third_party/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
83,jax_0.1.73,jax/third_party/numpy/linalg.py,207,136,135,15,85,71,121,100,192,603.4015885058325,10.676470588235292,13619.123558898214,756.6179754943453,1275.6203884367474,35,52.44156611163639,0,0
84,jax_0.1.73,jax/third_party/numpy/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
85,jax_0.1.73,jax/ops/scatter.py,335,50,56,2,6,3,6,8,9,17.509775004326936,1.0,27.0,1.5,27.0,4,28.97606311739913,1,1
86,jax_0.1.73,jax/ops/__init__.py,18,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,1,1
87,jax_0.1.73,jax/nn/functions.py,307,92,71,12,71,44,84,83,128,479.6515954934863,7.098591549295775,5792.486532324689,321.8048073513716,816.0050472124065,4,37.42832652270744,0,0
88,jax_0.1.73,jax/nn/__init__.py,42,3,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
89,jax_0.1.73,jax/nn/initializers.py,126,92,83,9,58,49,92,67,141,368.29222273037993,7.137931034482759,6105.205006961759,339.17805594232,855.3185758545459,1,63.78622640911815,0,0
90,jax_0.1.73,jax/scipy/special.py,642,268,347,17,227,164,277,244,441,1846.1133749162937,10.372246696035242,36276.46778867705,2015.3593215931696,3497.455165865233,21,48.60414074112742,2,1
91,jax_0.1.73,jax/scipy/signal.py,139,96,103,15,91,68,126,106,194,650.8126711922091,10.384615384615383,13554.172054231552,753.0095585684196,1305.2165681852605,46,50.56402616132379,0,0
92,jax_0.1.73,jax/scipy/linalg.py,591,426,485,16,518,331,651,534,982,4734.706693021634,10.054054054054054,89456.98558457273,4969.832532476263,8897.60340491718,43,25.414709033212528,1,1
93,jax_0.1.73,jax/scipy/__init__.py,21,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
94,jax_0.1.73,jax/scipy/ndimage.py,124,73,87,10,24,15,30,34,45,143.2583809661814,6.25,1430.848924101658,79.49160689453656,228.9358278562653,14,62.54855153324715,0,0
95,jax_0.1.73,jax/scipy/sparse/linalg.py,176,69,72,10,30,17,33,40,50,180.4259988171292,5.5,1463.5302260940248,81.30723478300138,266.09640474436816,9,67.92746781429825,0,0
96,jax_0.1.73,jax/scipy/sparse/__init__.py,16,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
97,jax_0.1.73,jax/scipy/stats/norm.py,54,29,29,2,6,3,6,8,9,17.509775004326936,1.0,27.0,1.5,27.0,1,86.69139831504478,0,0
98,jax_0.1.73,jax/scipy/stats/laplace.py,42,21,23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
99,jax_0.1.73,jax/scipy/stats/beta.py,38,17,20,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,1,100.0,0,0
100,jax_0.1.73,jax/scipy/stats/__init__.py,30,15,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
101,jax_0.1.73,jax/scipy/stats/gamma.py,36,17,18,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,1,99.62955793282076,0,0
102,jax_0.1.73,jax/scipy/stats/logistic.py,44,22,22,3,5,3,5,8,8,16.36452797660028,1.5,36.0,2.0,24.0,1,90.15035513843108,0,0
103,jax_0.1.73,jax/scipy/stats/dirichlet.py,43,21,21,5,14,13,20,19,33,64.91260938324326,3.571428571428572,500.6485997987083,27.81381109992824,140.1816079436383,2,85.04500324447605,0,0
