,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
0,yolov5_6.0,./export.py,364,226,267,10,32,20,37,42,57,193.21928094887363,5.78125,1776.9371007250636,98.7187278180591,307.3620930983894,41,52.70464980497663,5,1
1,yolov5_6.0,./hubconf.py,142,71,72,6,20,11,22,26,33,101.9483369020742,3.3,511.877885305565,28.43766029475361,155.11451069865606,14,71.19740399615239,7,1
2,yolov5_6.0,./train.py,620,394,463,21,256,215,396,277,611,2140.238665878354,16.2421875,80520.58709004014,4473.365949446674,4957.496463456055,124,29.759167409760792,46,1
3,yolov5_6.0,./detect.py,307,230,253,15,109,72,141,124,213,796.3354503348127,9.70183486238532,14370.782875448327,798.3768264137959,1481.2438141124046,64,46.33908162798197,22,1
4,yolov5_6.0,./val.py,360,259,267,19,136,83,161,155,244,1044.6055691654744,11.246323529411764,19966.43438087893,1109.246354493274,1775.3743548869145,69,44.29341215503934,13,1
5,yolov5_6.0,models/common.py,469,344,343,16,95,84,167,111,251,688.1362827914401,14.06315789473684,23983.286725877675,1332.4048181043154,1705.3983824538766,117,34.783103607066685,16,1
6,yolov5_6.0,models/experimental.py,119,86,85,12,45,32,59,57,91,290.15293934348927,7.866666666666666,4175.5715314734,231.97619619296665,530.7929912889915,33,62.67593119050176,6,1
7,yolov5_6.0,models/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
8,yolov5_6.0,models/tf.py,450,309,324,17,142,114,210,159,324,1084.7509592709207,12.570422535211268,29784.033298303908,1654.668516572439,2369.3740775121314,101,35.50072371441845,6,1
9,yolov5_6.0,models/yolo.py,327,270,257,17,167,123,220,184,343,1302.5654851444226,11.19760479041916,28896.33457625466,1605.351920903037,2580.5817509275557,94,39.53221611265016,11,1
10,yolov5_6.0,utils/augmentations.py,278,201,185,15,199,132,255,214,387,1578.291658422314,9.610552763819095,28792.713676620497,1599.5952042566942,2995.947723737244,42,48.91681726725192,1,1
11,yolov5_6.0,utils/torch_utils.py,340,226,227,16,146,93,180,162,273,1113.7143855964823,9.863013698630136,19763.30022694523,1097.961123719179,2003.7790507875025,85,42.77793313347743,3,1
12,yolov5_6.0,utils/loss.py,222,163,151,11,103,84,164,114,248,726.7633021048817,8.757281553398059,14839.710336005788,824.4283520003215,1694.556723512856,27,54.73993393618103,6,1
13,yolov5_6.0,utils/downloads.py,150,83,87,10,24,16,28,34,44,143.2583809661814,5.833333333333333,1305.782129254254,72.54345162523633,223.84836501501496,20,66.68079038390405,0,0
14,yolov5_6.0,utils/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
15,yolov5_6.0,utils/callbacks.py,76,22,34,1,4,2,4,5,6,8.0,0.5,6.965784284662087,0.3869880158145604,13.931568569324174,9,89.34532580966352,1,1
16,yolov5_6.0,utils/autoanchor.py,162,108,101,12,76,55,101,88,156,517.8620410303664,7.973684210526316,8034.852993414416,446.3807218563565,1007.6713325074184,15,61.30527905276953,4,1
17,yolov5_6.0,utils/activations.py,101,61,58,5,31,24,48,36,72,165.18972609642998,3.870967741935484,1440.9081294342443,80.05045163523579,372.2346001038465,11,70.56330973244046,0,0
18,yolov5_6.0,utils/datasets.py,1019,743,749,20,355,312,596,375,908,3093.8832630069232,16.788732394366196,130349.02919302192,7241.612732945662,7764.078081127985,216,9.513271132419316,20,1
19,yolov5_6.0,utils/metrics.py,333,218,197,14,231,157,302,245,459,1867.0569974759155,9.151515151515152,33338.208419050265,1852.122689947237,3642.9168140021807,41,47.6679066762762,3,1
20,yolov5_6.0,utils/plots.py,447,352,337,20,177,132,257,197,389,1408.2047442624378,14.519774011299434,43050.81279923798,2391.711822179888,2964.9781577685303,86,35.528210631576684,28,1
21,yolov5_6.0,utils/general.py,820,604,567,20,372,232,443,392,675,3263.005639629934,11.908602150537634,69247.67771872446,3847.093206595803,5814.929144777765,162,20.26649191798429,33,1
22,yolov5_6.0,utils/flask_rest_api/example_request.py,13,9,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,1,1
23,yolov5_6.0,utils/flask_rest_api/restapi.py,37,24,23,2,5,3,5,7,8,13.60964047443681,1.0,22.458839376460837,1.2477132986922683,22.458839376460837,4,85.37513057443668,2,1
24,yolov5_6.0,utils/aws/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
25,yolov5_6.0,utils/aws/resume.py,40,28,28,8,17,10,20,25,30,93.48686830125578,4.705882352941177,655.6032267917258,36.42240148842921,139.31568569324173,7,81.34925278849384,2,1
26,yolov5_6.0,utils/loggers/__init__.py,149,112,109,11,68,44,80,79,124,452.0012210100334,6.470588235294118,5057.857023831512,280.99205687952843,781.6688127739608,55,54.79792486189918,6,1
27,yolov5_6.0,utils/loggers/wandb/sweep.py,36,24,24,4,8,4,8,12,12,32.0,2.0,86.03910001730776,4.779950000961542,43.01955000865388,4,81.62708471656724,2,1
28,yolov5_6.0,utils/loggers/wandb/wandb_utils.py,528,321,340,17,161,100,190,178,290,1249.7644856777092,10.031055900621118,21746.95498380815,1208.1641657671196,2167.9626949802555,109,35.558062237240655,7,1
29,yolov5_6.0,utils/loggers/wandb/__init__.py,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
30,yolov5_6.0,utils/loggers/wandb/log_dataset.py,23,15,15,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,2,89.4065060357368,1,1
