Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
jax_0.2.21,jax/experimental/sparse/ops.py,1732,1174,1146,18,503,381,696,521,1077,4589.189188698142,12.453280318091451,121046.82253063071,6724.823473923929,9720.075308573954,335,0.0
jax_0.2.21,jax/experimental/compilation_cache/cache_interface.py,24,8,8,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0
jax_0.2.21,jax/experimental/compilation_cache/compilation_cache.py,160,99,104,4,22,13,25,26,38,106.10749561002054,2.272727272727273,405.94706656673077,22.55261480926282,178.61670928936152,17,65.30327108949236
jax_0.2.21,jax/experimental/compilation_cache/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/experimental/compilation_cache/file_system_cache.py,82,56,52,5,8,6,10,13,16,35.60964047443681,3.125,185.0219859070546,10.27899921705859,59.207035490257475,17,73.84998107119101
jax_0.2.21,jax/experimental/jax2tf/jax2tf.py,3091,1496,1940,23,500,350,639,523,989,4586.934067320355,14.697,131263.75403750566,7292.430779861425,8931.329797748225,270,0.0
jax_0.2.21,jax/experimental/jax2tf/__init__.py,17,2,2,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/experimental/jax2tf/call_tf.py,417,181,240,9,68,37,73,77,110,442.4767982180039,4.830882352941177,3330.151936000151,185.0084408888973,689.3465194764392,21,57.14681960396823
jax_0.2.21,jax/experimental/jax2tf/shape_poly.py,753,521,511,17,199,139,252,216,391,1589.175167789442,10.763819095477388,32637.63261601484,1813.2018120008242,3032.161013345916,152,21.600912477366244
jax_0.2.21,jax/experimental/jax2tf/tests/savedmodel_test.py,273,162,178,2,10,9,18,12,27,35.219280948873624,1.8,174.22917753504822,9.679398751947124,96.79398751947123,12,63.349059068556556
jax_0.2.21,jax/experimental/jax2tf/tests/sharding_test.py,332,141,260,8,16,12,23,24,35,88.0,5.75,922.7237032701329,51.26242795945183,160.4736875252405,21,60.12536965243554
jax_0.2.21,jax/experimental/jax2tf/tests/jax2tf_test.py,1022,617,776,8,115,92,182,123,274,811.2313558586033,6.3304347826086955,12042.06307312199,669.0035040623328,1902.2489744629518,69,26.926364617554835
jax_0.2.21,jax/experimental/jax2tf/tests/jax2tf_limitations.py,1122,372,925,20,123,104,174,143,278,940.3678460544737,14.146341463414634,28157.50376444262,1564.3057646912566,1990.4442316243922,75,30.112255324077093
jax_0.2.21,jax/experimental/jax2tf/tests/call_tf_test.py,996,657,693,8,180,114,227,188,341,1372.5335573393415,5.044444444444444,12995.067983151352,721.9482212861863,2576.1147984220743,77,26.701810932851707
jax_0.2.21,jax/experimental/jax2tf/tests/primitive_harness.py,2878,775,2250,17,240,242,387,257,629,1967.1406112473003,13.70625,69018.34053927743,3834.3522521820796,5035.53784144295,294,0.0
jax_0.2.21,jax/experimental/jax2tf/tests/control_flow_ops_test.py,305,204,202,4,54,42,84,58,126,318.76392511682735,3.111111111111111,2296.3285500900083,127.57380833833379,738.1056053860741,17,52.17230498507269
jax_0.2.21,jax/experimental/jax2tf/tests/tf_test_util.py,476,266,325,11,61,41,77,72,118,399.8287253963464,6.942622950819672,5054.58462454224,280.81025691901334,728.0511501701928,61,45.254848428318525
jax_0.2.21,jax/experimental/jax2tf/tests/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/experimental/jax2tf/tests/shape_poly_test.py,1827,646,1454,16,249,233,432,265,665,2046.040481084952,13.879518072289157,74299.13225015768,4127.729569453204,5353.149285384624,97,19.196692973651274
jax_0.2.21,jax/experimental/jax2tf/tests/primitives_test.py,300,138,196,7,30,19,34,37,53,166.8582023226588,3.966666666666667,1095.2007459007264,60.844485883373686,276.1010283783344,34,59.02768614448413
jax_0.2.21,jax/experimental/jax2tf/tests/jax_primitives_coverage_test.py,152,71,94,3,5,3,5,8,8,16.36452797660028,1.5,36.0,2.0,24.0,21,74.6636948706893
jax_0.2.21,jax/experimental/jax2tf/tests/stax_test.py,77,37,48,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,5,88.5800541917539
jax_0.2.21,jax/experimental/jax2tf/examples/saved_model_main.py,206,94,147,7,35,23,43,42,66,199.17639004747704,4.3,1530.3396845846123,85.01887136581179,355.89294990339823,18,59.65560372878955
jax_0.2.21,jax/experimental/jax2tf/examples/mnist_lib.py,313,168,180,7,45,33,57,52,90,266.7848737892386,4.433333333333334,2274.475447538296,126.3597470854609,513.0395746326983,25,58.24102917505997
jax_0.2.21,jax/experimental/jax2tf/examples/saved_model_lib.py,151,36,51,3,6,4,6,9,10,20.264662506490406,1.5,47.548875021634686,2.6416041678685938,31.699250014423125,10,67.75825749254653
jax_0.2.21,jax/experimental/jax2tf/examples/saved_model_main_test.py,65,31,41,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,5,88.93919675570635
