Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
jax_0.3.15,./conftest.py,26,10,9,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.3.15,./setup.py,92,17,68,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0
jax_0.3.15,docs/autodidax.py,3001,1742,1634,20,412,263,489,432,752,3665.276779097233,11.868932038834952,78141.19590765944,4341.177550425524,6583.67540162693,354,0.0
jax_0.3.15,docs/conf.py,294,44,122,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.3.15,docs/sphinxext/jax_extensions.py,50,22,22,3,9,6,10,12,16,33.28421251514428,1.6666666666666667,95.59900001923084,5.311055556623936,57.359400011538504,4,84.7406863074896
jax_0.3.15,build/build_wheel.py,306,192,235,10,23,13,24,33,37,137.26120593818493,5.217391304347826,973.7873865196318,54.099299251090656,186.64258241626277,22,49.62240178278965
jax_0.3.15,build/build.py,555,259,441,18,89,55,102,107,157,651.398925381971,10.314606741573034,10917.086189685971,606.5047883158873,1058.41031686498,70,33.66118944288321
jax_0.3.15,build/rocm/run_single_gpu.py,120,77,86,4,16,9,18,20,27,72.0,2.25,262.55713176440725,14.586507320244847,116.69205856195879,10,66.7791333614014
jax_0.3.15,tests/x64_context_test.py,149,104,107,5,10,7,11,15,18,44.82892142331043,2.75,193.39108448262166,10.743949137923426,70.32403072095333,13,62.31953318514132
jax_0.3.15,tests/lax_autodiff_test.py,1106,453,979,16,123,73,140,139,213,917.9292841567265,9.105691056910569,13807.273026901788,767.070723716766,1516.3344484901072,81,23.243136837118687
jax_0.3.15,tests/qdwh_test.py,257,157,179,9,58,31,61,67,92,368.29222273037993,4.732758620689655,2641.2589037210446,146.73660576228025,558.0802055221151,10,52.59316423076364
jax_0.3.15,tests/lax_numpy_indexing_test.py,1480,709,1267,14,101,135,181,115,316,725.7823286667377,12.544554455445544,27136.064778977245,1507.5591543876246,2163.174856098423,96,13.992516519314348
jax_0.3.15,tests/stack_test.py,54,29,28,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,4,91.69128887833732
jax_0.3.15,tests/metadata_test.py,112,78,82,2,22,21,32,24,53,100.10749561002054,1.4545454545454546,353.4589273283219,19.636607073795663,243.00301253822133,18,62.25257497587688
jax_0.3.15,tests/array_test.py,182,131,142,3,8,4,8,11,12,28.75488750216347,1.5,62.26976913547136,3.4594316186372978,41.51317942364757,18,57.77219907671895
jax_0.3.15,tests/name_stack_test.py,613,448,512,7,30,50,100,37,150,166.8582023226588,11.666666666666666,9116.543389850662,506.4746327694812,781.4180048443425,42,25.739742945168054
jax_0.3.15,tests/jet_test.py,429,396,342,15,91,56,100,106,156,650.8126711922091,8.241758241758241,8650.183441581255,480.5657467545142,1049.555590911859,114,23.185468751904427
jax_0.3.15,tests/jaxpr_effects_test.py,863,681,697,4,22,34,68,26,102,106.10749561002054,6.181818181818182,2963.840898638783,164.6578277021546,479.4448512503914,61,24.141802252947812
jax_0.3.15,tests/sharded_jit_test.py,525,339,389,9,110,84,168,119,252,774.4788935006934,6.872727272727273,11941.322924757482,663.4068291531935,1737.4940763536017,48,31.808938349149866
jax_0.3.15,tests/multibackend_test.py,197,133,146,6,28,16,32,34,48,150.11571282193984,3.4285714285714284,837.2510275886274,46.513945977145966,244.19821638001633,20,56.37139488514214
jax_0.3.15,tests/clear_backends_test.py,40,20,18,3,6,3,6,9,9,20.264662506490406,1.5,42.793987519471216,2.377443751081734,28.529325012980813,4,89.60424193829225
jax_0.3.15,tests/xla_bridge_test.py,255,163,185,7,14,9,14,21,23,72.95445336320968,3.5,353.5815525336902,19.643419585205013,101.02330072391149,25,52.7610546953811
jax_0.3.15,tests/core_test.py,747,533,549,8,137,95,187,145,282,996.4303953655922,5.45985401459854,11054.754042418906,614.153002356606,2024.7343633842115,83,25.45028833809218
jax_0.3.15,tests/debug_nans_test.py,237,160,167,5,27,15,30,32,45,139.9916030328505,2.7777777777777777,625.0,34.72222222222222,225.0,31,51.957822648217444
jax_0.3.15,tests/scipy_stats_test.py,893,569,703,10,76,65,104,86,169,508.06177197058616,6.842105263157895,7430.791403200268,412.82174462223713,1086.0387435446546,53,27.39838426209424
jax_0.3.15,tests/callback_test.py,294,206,221,8,59,46,91,67,137,371.07593991234864,6.169491525423729,5127.181961860139,284.8434423255633,831.0542190927148,15,41.14830949880618
jax_0.3.15,tests/debugging_primitives_test.py,542,384,456,5,33,23,46,38,69,178.07464641326578,3.484848484848485,1261.8880248234802,70.10489026797113,362.1069984276074,39,34.34697297214005
jax_0.3.15,tests/xla_interpreter_test.py,37,15,16,1,8,4,8,9,12,24.0,0.5,19.019550008653876,1.0566416671474377,38.03910001730775,6,90.43301638216766
jax_0.3.15,tests/scipy_interpolate_test.py,71,36,44,4,13,7,14,17,21,56.105716335834195,2.1538461538461537,184.87908851193845,10.27106047288547,85.83671966625714,3,78.50613892639305
jax_0.3.15,tests/ann_test.py,231,124,175,8,26,17,32,34,49,146.2114326716684,4.923076923076923,1227.2525746277745,68.18069859043192,249.28567922126666,16,57.51987218417181
jax_0.3.15,tests/image_test.py,404,172,338,4,12,8,12,16,20,51.01955000865388,2.0,160.0,8.88888888888889,80.0,20,50.837884362251565
jax_0.3.15,tests/global_device_array_test.py,383,207,326,4,9,5,9,13,14,36.52932501298081,2.0,103.61231210795059,5.75623956155281,51.80615605397529,27,48.5220429437571
jax_0.3.15,tests/util_test.py,84,45,42,5,13,7,13,18,20,59.715356810271004,2.5,208.4962500721156,11.583125004006423,83.39850002884624,6,78.58496059329892
jax_0.3.15,tests/dtypes_test.py,529,314,422,9,61,39,75,70,114,390.3043026043169,5.532786885245901,3865.969902900944,214.77610571671912,698.7382639317262,83,29.328300455170595
jax_0.3.15,tests/errors_test.py,396,261,304,5,21,13,26,26,39,103.84830635279079,3.0952380952380953,567.4102231184605,31.522790173247806,183.31714900750262,29,40.52400748920242
jax_0.3.15,tests/api_test.py,8471,6388,6520,20,1313,1081,2100,1333,3181,13687.347588670107,15.993907083015994,528122.7567471506,29340.153152619474,33020.24664804803,708,0.0
jax_0.3.15,tests/generated_fun_test.py,285,209,208,11,38,24,44,49,68,237.47499331586653,6.368421052631579,2431.4648735463124,135.08138186368402,381.8002693998342,34,44.258264021728294
jax_0.3.15,tests/jax_to_ir_test.py,150,85,100,5,14,7,14,19,21,64.91260938324326,2.5,223.01619445578822,12.389788580877124,89.20647778231529,14,67.83008528234795
jax_0.3.15,tests/infeed_test.py,122,82,87,4,18,10,20,22,30,83.05865002596161,2.2222222222222223,297.2954412424865,16.51641340236036,133.78294855911892,7,65.61277357418047
jax_0.3.15,tests/sparsify_test.py,578,328,435,9,52,36,70,61,106,324.9521903563176,6.0576923076923075,3808.217686562015,211.56764925344527,628.658157781666,37,37.91889964684792
jax_0.3.15,tests/xmap_test.py,1919,1351,1518,22,267,196,380,289,576,2250.313309370598,15.655430711610487,73717.62197469377,4095.4234430385427,4708.757193120392,220,0.0
jax_0.3.15,tests/svd_test.py,232,135,161,8,48,27,54,56,81,292.0782000346155,4.5,2116.780869089997,117.59893717166649,470.39574868666597,14,54.56312859603056
jax_0.3.15,tests/compilation_cache_test.py,323,259,272,7,33,21,42,40,63,186.1164903932322,4.454545454545454,1493.5265480833898,82.97369711574387,335.28146997790384,30,39.722079976516326
jax_0.3.15,tests/lax_numpy_vectorize_test.py,213,117,164,4,13,9,16,17,25,56.105716335834195,2.4615384615384617,251.53617484617476,13.974231935898597,102.1865710312585,18,54.50062732375096
jax_0.3.15,tests/lobpcg_test.py,399,270,295,12,101,61,115,113,176,715.4989097665853,6.8316831683168315,8200.42112074951,455.57895115275056,1200.3514973850731,38,39.431722704325836
jax_0.3.15,tests/api_util_test.py,71,36,48,3,11,8,16,14,24,42.808635307173745,2.1818181818181817,199.36694864592542,11.075941591440301,91.37651812938249,12,76.47242976250509
jax_0.3.15,tests/nn_test.py,291,163,216,6,32,21,32,38,53,175.50977500432694,3.0,834.4204746375301,46.35669303541834,278.14015821251,39,47.681137763368774
jax_0.3.15,tests/version_test.py,44,16,23,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,3,97.8258162014667
